Skill,Type,Required,Job Title
Python,Technical,Yes,Entry-Level Backend Developer
Django,Technical,Yes,Entry-Level Backend Developer
SQL,Technical,Yes,Entry-Level Backend Developer
APIs,Technical,Yes,Entry-Level Backend Developer
Problem-solving,Soft,Yes,Entry-Level Backend Developer
Communication,Soft,Yes,Entry-Level Backend Developer
Git,Technical,Yes,Junior Frontend Developer
React,Technical,Yes,Junior Frontend Developer
JavaScript,Technical,Yes,Junior Frontend Developer
CSS,Technical,Yes,Junior Frontend Developer
Figma,Technical,No,Junior Frontend Developer
Attention to Detail,Soft,Yes,Junior Frontend Developer
Java,Technical,Yes,Associate Software Engineer
Spring Boot,Technical,Yes,Associate Software Engineer
REST APIs,Technical,Yes,Associate Software Engineer
Docker,Technical,No,Associate Software Engineer
Agile,Technical,Yes,Associate Software Engineer
Teamwork,Soft,Yes,Associate Software Engineer
C#,Technical,Yes,Junior .NET Developer
.NET Core,Technical,Yes,Junior .NET Developer
Entity Framework,Technical,Yes,Junior .NET Developer
SQL Server,Technical,Yes,Junior .NET Developer
Critical Thinking,Soft,Yes,Junior .NET Developer
Adaptability,Soft,Yes,Junior .NET Developer
Cloud Computing,Technical,Yes,Software Developer Intern
Node.js,Technical,Yes,Software Developer Intern
MongoDB,Technical,Yes,Software Developer Intern
RESTful APIs,Technical,Yes,Software Developer Intern
Initiative,Soft,Yes,Software Developer Intern
Time Management,Soft,Yes,Software Developer Intern
